Time;W
00:00:00;739388.3333333334
00:15:00;794881.6666666666
00:30:00;765892.1428571428
00:45:00;760687.8571428572
01:00:00;806245.0
01:15:00;771110.0
01:30:00;805350.0
01:45:00;809201.3333333334
02:00:00;761268.6666666666
02:15:00;792587.5
02:30:00;763295.1666666666
02:45:00;773393.6666666666
03:00:00;796652.3333333334
03:15:00;832801.3333333334
03:30:00;840716.6666666666
03:45:00;929611.3333333334
04:00:00;892680.3333333333
04:15:00;945186.6666666666
04:30:00;1022879.1666666666
04:45:00;1189975.8333333333
05:00:00;1295836.6666666667
05:15:00;1332693.3333333333
05:30:00;1285211.6666666667
05:45:00;1298337.5
06:00:00;1208003.3333333333
06:15:00;1128634.5
06:30:00;1188515.6666666667
06:45:00;1265537.3333333333
07:00:00;1312533.3333333333
07:15:00;1435871.6666666667
07:30:00;1536273.3333333333
07:45:00;1760299.3333333333
08:00:00;1844375.6666666667
08:15:00;2036008.3333333333
08:30:00;2069628.3333333333
08:45:00;2254236.6666666665
09:00:00;2226981.6666666665
09:15:00;2288083.333333333
09:30:00;2688048.3333333335
09:45:00;2736183.6666666665
10:00:00;2875923.3333333335
10:15:00;3031546.3333333335
10:30:00;2766685.0
10:45:00;2863798.5
11:00:00;2895203.1666666665
11:15:00;2882473.0
11:30:00;2801963.6666666665
11:45:00;3125445.6666666665
12:00:00;3011279.3333333335
12:15:00;2891586.6666666665
12:30:00;2889937.6666666665
12:45:00;2915344.0
13:00:00;3029470.0
13:15:00;3045746.6666666665
13:30:00;3105718.333333333
13:45:00;2866486.6666666665
14:00:00;2797151.6666666665
14:15:00;2791147.3333333335
14:30:00;2841852.6666666665
14:45:00;2755688.3333333335
15:00:00;2697021.6666666665
15:15:00;2593644.0
15:30:00;2511090.0
15:45:00;2436667.6666666665
16:00:00;2359680.0
16:15:00;2254121.6666666665
16:30:00;2125616.6666666665
16:45:00;1839020.0
17:00:00;1669089.6666666667
17:15:00;1558842.0
17:30:00;1446295.0
17:45:00;1251953.3333333333
18:00:00;1243860.0
18:15:00;1171803.3333333333
18:30:00;1126471.6666666665
18:45:00;1075738.3333333333
19:00:00;955989.6666666666
19:15:00;919967.0
19:30:00;947226.3333333333
19:45:00;987227.0
20:00:00;593336.6666666666
20:15:00;878225.0
20:30:00;840935.0
20:45:00;801209.0
21:00:00;809738.3333333334
21:15:00;862222.6666666666
21:30:00;938068.3333333334
21:45:00;941219.0
22:00:00;977161.0
22:15:00;947223.0
22:30:00;949275.3333333334
22:45:00;932417.0
23:00:00;912516.3333333334
23:15:00;875146.6666666666
23:30:00;920726.6666666666
23:45:00;769093.3333333334
